,salary_to,salary_from,req,resp,name,vacancy_type,skills,level
9,160000,50000,Навыки: Навыки владения программным обеспечением IBM SPSS Modeler или аналогичным программным обеспечением обязательно. <highlighttext>Python</highlighttext>. Желательны навыки работы c R.,Обеспечить своевременное и высококачественное выполнение проектов внедрения аналитических систем и решений. Участие в проектах по созданию и внедрению аналитических систем...,"Специалист по внедрению аналитических решений (прогностическая аналитика, big data)",data engineer,spss;r;python;deployment;integration,middle
21,NA,250000,"В/о, техническое, экономическое, маркетинговое, социологическое. Обязательна степень MBA/2-е в/о. Искренне клиентоориентированный человек: способен отказаться от личного...","Набор, адаптация, поддержка, мотивация, оценка; наставничество и развитие сотрудников подразделения. Регулярная <highlighttext>аналитика</highlighttext> по направлениям деятельности. Поиск новых практик, идей, решений...",Руководитель направления продаж  (Big Data & Data mining),manager,reporting;sales;education;,middle
23,NA,137931.034482759,Про ManyChat: Воронки. 2+ года опыта <highlighttext>аналитики</highlighttext> или data science. Вы не раз проводили анализ разных данных разными инструментами...,"Изучать взаимодействие пользователей с продуктом. Анализ продаж. Определить сегменты пользователей. Обеспечить доступ к основным метрикам всей команде. Свободные исследования, направленные...",Аналитик данных,data analyst,experience;segmentation,middle
47,287356.32183908,172413.793103448,...в области <highlighttext>computer</highlighttext> <highlighttext>vision</highlighttext>. Опыт работы с нейронными сетями. Математическая культура. Знание классических алгоритмов и структур данных. Хорошее знание <highlighttext>Python</highlighttext>.,Cow detection/recognition.,Senior Сomputer Vision Engineer,data scientist,computer_vision;python;db;algorithms,seniour
65,NA,172413.793103448,Знание классического регрессионного анализа. Навыки планирования экспериментов.,"Инструментария <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext> (<highlighttext>нейронные</highlighttext> <highlighttext>сети</highlighttext>, градиентный бустинг). Языка программирования <highlighttext>Python</highlighttext>. Реляционных баз данных на языке SQL. Операционной системы Linux, системы...","Разработчик (Python, машинная лингвистика)",data scientist,python;nlp;statistics;sql;linux;db,middle
70,70000,50000,"Знание SQL - обязательно! Знание Microsoft PowerBI и <highlighttext>Python</highlighttext> будут огромным преимуществом. Разговорный английский язык, не ниже уровня Upper - Intermediate. ","Выгрузка и подготовка отчетов по стандартной форме и по запросам руководителя, бизнеса. Подготовка регулярных отчетов по выполнению основных показателей бизнеса. ",Data аналитик / бизнес-аналитик,data analyst,sql;powerbi;language;reporting,middle
72,NA,149425.287356322,"Глубокое понимание как классической теории вероятности и математической статистики, так и методов <highlighttext>Machine</highlighttext> <highlighttext>Learning</highlighttext>. Целеустремленность и ответственность. Опыт разработки моделей...","Разработка широкого спектра новых моделей в области: Text Mining, <highlighttext>Neural</highlighttext> <highlighttext>Networks</highlighttext> и другие. Сбор данных из открытых источников и взаимодействие...",Руководитель проектов Data Science,project manager,algorithms;nlp;parsing,middle
78,NA,149425.287356322,"Знание одного из статистических пакетов: <highlighttext>Python</highlighttext> (соответствующих библиотек), <highlighttext>SAS</highlighttext>, R, IBM SPSS или STATISTICA. Умение ясно излагать мысли письменно и...","Сбор, анализ и сверка данных из различных источников для Банка (ТОП-10). Проведение <highlighttext>аналитики</highlighttext> <highlighttext>данных</highlighttext> для Банка. Анализ базы и...",Аналитик данных (Data scientist),data scientist,python;sas;r;spss;statistica;,middle
84,68965.5172413793,57471.2643678161,"Обязательно наличие опыта работы в математическом анализе и моделировании, математические методы в экономике, обработка больших данных (<highlighttext>Big</highlighttext> <highlighttext>Data</highlighttext>), теории вероятности...","Обработка данной информации с использованием современных средств (<highlighttext>Data</highlighttext> <highlighttext>mining</highlighttext>, Crowdsourcing и т.д.). Подготовка предварительных предложений и решений для бизнеса.","Аналитик данных (Математик-программист, Статистик)",data analyst,experience;,middle
89,NA,130000,"Знания в областях <highlighttext>Machine</highlighttext> <highlighttext>Learning</highlighttext>, <highlighttext>Deep</highlighttext> <highlighttext>Learning</highlighttext>, <highlighttext>Data</highlighttext> <highlighttext>Mining</highlighttext>. Желательно знание С/С++; <highlighttext>Python</highlighttext>; Open GL; Open CL. ","...других алгоритмов <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>, способных точно решать поставленные задачи распознавания и классификации паттернов изображений или задачи <highlighttext>распознавания</highlighttext> <highlighttext>речи</highlighttext>, <highlighttext>NLP</highlighttext>. ",Data Engineer,data engineer,knowledge;c;python;open_gl;open_cl;,middle
105,120000,80000,"Хорошее знание <highlighttext>Python</highlighttext>, опыт работы с Git. Опыт обработки текстов на естественном языке. Плюсом будет опыт использования Томита-парсера или...","Разработка, поддержка грамматик для Yargy-парсера. Создание, отладка статистических моделей. Иногда не получается извлечь сущности с помощью правил, тогда используются...",NLP-разработчик на Python,data scientist,python;nlp;git;yargy,middle
107,NA,114942.528735632,Техническое образование (высшее). Опыт ручного/автоматизированного тестирования от 2-х лет. Умение работать в ОС Linux. Опыт тестирования web-приложений...,"Участие в тестировании алгоритмов <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>. Тестирование аналитических языков (BLINK, Groovy extension). Возможность развиваться в автоматизации тестирования (BDD, Cucumber, HipTest...",QA Engineer,data engineer,testing;experience;linux;blink;groovy;bdd;cucumber;hipTest,middle
